a,n,num_liquidations,total_commission,profit
0.002,2,2759,669.24,13384.19978
0.002,2.2,2589,627.96,12564.00477
0.002,2.4,2379,577.08,11538.28374
0.002,2.6,2221,538.68,10774.69153
0.002,2.8,2066,501.12,10040.49785
0.002,3,1962,713.88,14313.38812
0.002,3.2,1856,675.18,13532.39129
0.002,3.4,1767,642.96,12886.76822
0.002,3.6,1719,625.32,12536.3899
0.002,3.8,1587,577.44,11555.82449
0.002,4,1573,762.72,15279.40653
0.002,4.2,1472,714,14324.67968
0.002,4.4,1409,683.52,13704.16723
0.002,4.6,1359,659.04,13220.04985
0.002,4.8,1303,631.92,12676.9875
0.002,5,1281,776.4,15627.08845
0.002,5.2,1208,732.3,14700.32864
0.002,5.4,1148,696,13931.02664
0.002,5.6,1167,707.1,14177.74845
0.002,5.8,1101,667.5,13392.81547
0.002,6,1073,780.48,15634.67264
0.002,6.2,1040,756.36,15121.29307
0.002,6.4,1010,734.4,14702.46794
0.002,6.6,989,719.28,14452.10318
0.002,6.8,964,701.28,14057.13789
0.002,7,945,801.78,16047.94206
0.002,7.2,880,747.18,14931.49436
0.002,7.4,880,746.76,14995.91795
0.002,7.6,820,696.36,13984.26289
0.002,7.8,793,673.26,13527.47287
0.003,2,1828,445.92,13508.57076
0.003,2.2,1714,417.96,12672.80211
0.003,2.4,1593,388.44,11774.79725
0.003,2.6,1477,360.12,10941.06035
0.003,2.8,1384,337.56,10239.67278
0.003,3,1301,475.92,14427.32786
0.003,3.2,1238,452.7,13739.68332
0.003,3.4,1186,433.8,13182.74068
0.003,3.6,1130,413.28,12560.58264
0.003,3.8,1082,395.64,12006.07273
0.003,4,1019,496.8,15073.8911
0.003,4.2,976,475.92,14466.65176
0.003,4.4,939,457.68,13942.02455
0.003,4.6,900,438.72,13355.31924
0.003,4.8,864,421.44,12805.18873
0.003,5,843,513.6,15639.23153
0.003,5.2,797,485.7,14746.43763
0.003,5.4,780,475.5,14455.37086
0.003,5.6,798,486,14762.43114
0.003,5.8,745,453.9,13772.43819
0.003,6,734,536.4,16338.47749
0.003,6.2,716,523.08,15902.23411
0.003,6.4,678,495.72,15033.42602
0.003,6.6,674,492.48,15004.70155
0.003,6.8,649,474.48,14450.06482
0.003,7,609,519.54,15747.42582
0.003,7.2,626,533.82,16234.71393
0.003,7.4,605,516.18,15711.70101
0.003,7.6,580,494.76,15078.78034
0.003,7.8,552,471.24,14387.87595
0.004,2,1392,341.4,13820.34403
0.004,2.2,1285,315.12,12762.89087
0.004,2.4,1198,293.76,11889.61207
0.004,2.6,1100,269.76,10926.18497
0.004,2.8,1050,257.28,10438.51107
0.004,3,983,361.44,14644.31448
0.004,3.2,951,349.56,14175.02
0.004,3.4,865,318.24,12885.77893
0.004,3.6,849,312.3,12660.4764
0.004,3.8,812,298.44,12116.8185
0.004,4,746,366,14820.32086
0.004,4.2,740,362.64,14710.1792
0.004,4.4,705,345.6,14031.37409
0.004,4.6,684,335.28,13610.59977
0.004,4.8,654,320.64,13027.66487
0.004,5,631,386.4,15677.30599
0.004,5.2,627,384,15620.28041
0.004,5.4,591,362.1,14692.41161
0.004,5.6,586,358.8,14570.59307
0.004,5.8,568,347.7,14132.57928
0.004,6,548,402.48,16372.64788
0.004,6.2,510,375.12,15236.95322
0.004,6.4,503,369.72,15034.18126
0.004,6.6,496,364.32,14776.72151
0.004,6.8,503,369.36,15010.38082
0.004,7,467,400.26,16237.35665
