a,n,num_liquidations,total_commission,short_profits,long_profits,profit
0.001,2,5575,1345.2,11930.65523,2277.458656,12862.91389
0.001,3,3952,1430.1,12659.2343,2444.086368,13673.22067
0.001,4,3020,1457.28,12862.78864,2506.434905,13911.94355
0.001,5,2509,1513.2,13747.42038,2287.038223,14521.2586
0.001,6,2155,1559.52,14119.99393,2384.571152,14945.04509
0.001,7,1817,1534.26,13571.06559,2622.930276,14659.73587
0.001,8,1646,1588.32,14053.80774,2722.61084,15188.09858
0.001,9,1532,1662.66,14815.10002,2765.922711,15918.36273
0.001,10,1396,1683.6,15255.05289,2510.509557,16081.96245
0.001,11,1267,1680.36,14769.72861,2947.00796,16036.37657
0.002,2,2759,669.24,11799.75002,2253.689762,13384.19978
0.002,3,1962,713.88,12728.27139,2298.996725,14313.38812
0.002,4,1573,762.72,13495.93364,2546.192885,15279.40653
0.002,5,1281,776.4,14173.53146,2229.956983,15627.08845
0.002,6,1073,780.48,13927.22203,2487.930606,15634.67264
0.002,7,945,801.78,14137.9763,2711.74576,16047.94206
0.002,8,841,815.52,14726.35239,2493.675923,16404.50831
0.002,9,758,826.74,14714.92731,2700.758899,16588.94621
0.002,10,683,828,14895.22242,2516.819505,16584.04193
0.002,11,658,876.48,15812.36284,2635.042311,17570.92515
0.003,2,1828,445.92,11650.22457,2304.266193,13508.57076
0.003,3,1301,475.92,12474.15979,2429.088075,14427.32786
0.003,4,1019,496.8,13112.68333,2458.007763,15073.8911
0.003,5,843,513.6,13715.51154,2437.319987,15639.23153
0.003,6,734,536.4,14454.47519,2420.402296,16338.47749
0.003,7,609,519.54,13564.52245,2702.443371,15747.42582
0.003,8,546,532.32,14659.55037,2151.947297,16279.17767
0.003,9,504,552.42,14472.3104,2839.962363,16759.85276
0.003,10,443,540,14477.77409,2462.274757,16400.04885
0.003,11,438,586.74,15527.24889,2843.31911,17783.828
0.004,2,1392,341.4,11842.95783,2318.786208,13820.34403
0.004,3,983,361.44,12573.67829,2432.076188,14644.31448
0.004,4,746,366,12767.74199,2418.578865,14820.32086
0.004,5,631,386.4,13465.84779,2597.858197,15677.30599
0.004,6,548,402.48,14329.85173,2445.276148,16372.64788
0.004,7,467,400.26,13973.32987,2664.286783,16237.35665
0.004,8,402,394.08,14351.05579,2080.370088,16037.34588
0.004,9,371,408.78,14062.61539,2899.261273,16553.09666
0.004,10,328,402,14405.93303,2337.295821,16341.22885
0.004,11,312,420.42,14434.35813,2952.59161,16966.52975
0.005,2,1111,274.08,11761.51763,2361.652354,13849.08999
0.005,3,766,283.5,12245.60383,2383.453563,14345.55739
0.005,4,595,293.76,12890.37729,2283.382299,14879.99959
0.005,5,497,306.3,13489.76659,2349.825127,15533.29172
0.005,6,426,315,13749.40258,2520.289988,15954.69257
0.005,7,374,322.56,13973.63902,2666.939974,16318.01899
0.005,8,324,319.68,14460.12392,2104.108605,16244.55252
0.005,9,310,342.9,15011.88614,2766.952361,17435.9385
0.005,10,255,314.4,13764.35547,2467.906517,15917.86198
0.005,11,248,335.94,14748.808,2586.916195,16999.78419
0.006,2,904,224.4,11486.05115,2309.030642,13570.68179
0.006,3,640,238.14,12274.30677,2396.311917,14432.47869
0.006,4,469,233.04,12043.82907,2280.590763,14091.37983
0.006,5,389,241.5,12603.60423,2246.883149,14608.98737
0.006,6,350,260.28,13441.09537,2577.100878,15757.91624
0.006,7,312,270.48,13691.67574,2916.222314,16337.41806
0.006,8,263,261.12,14080.23458,2039.976258,15859.09084
0.006,9,244,272.16,14116.35197,2654.14458,16498.33655
0.006,10,217,268.8,14099.92502,2487.350421,16318.47545
0.006,11,202,275.22,14363.36324,2581.331301,16669.47454
0.007,2,760,189.96,11285.11323,2253.500624,13348.65386
0.007,3,530,198.54,11859.19873,2301.054307,13961.71304
0.007,4,401,200.64,12096.3979,2222.231909,14117.98981
0.007,5,330,206.1,12358.36685,2347.783557,14500.05041
0.007,6,289,216.36,12844.23968,2579.442817,15207.3225
0.007,7,246,215.04,12671.38946,2635.45175,15091.80121
0.007,8,219,218.88,13281.24418,2318.332266,15380.69644
0.007,9,200,224.64,13519.97264,2529.542317,15824.87496
0.007,10,182,227.4,13647.35719,2586.305397,16006.26259
0.007,11,167,229.02,13762.11879,2580.556429,16113.65522
0.008,2,647,162.96,11007.75448,2161.639621,13006.4341
0.008,3,457,172.26,11686.46336,2276.833079,13791.03644
0.008,4,347,174.72,11853.01042,2288.14801,13966.43843
0.008,5,285,179.1,12238.66278,2278.645222,14338.208
0.008,6,241,181.8,12559.54822,2196.199714,14573.94793
0.008,7,210,184.8,12362.13518,2568.207583,14745.54277
0.008,8,195,195.84,13360.8787,2503.823378,15668.86208
0.008,9,168,190.08,13140.64947,2247.44005,15198.00952
0.008,10,156,196.2,13702.0144,2234.805635,15740.62004
0.008,11,148,203.94,13974.96941,2554.051256,16325.08067
0.009,2,580,146.88,11038.70662,2249.833503,13141.66013
0.009,3,405,153.72,11719.44423,2229.433869,13795.1581
0.009,4,301,152.64,11588.62794,2208.667151,13644.65509
0.009,5,249,157.5,12142.16751,2158.349187,14143.01669
0.009,6,215,163.08,12370.65645,2409.324208,14616.90065
0.009,7,187,165.48,12358.31719,2603.552198,14796.38939
0.009,8,165,167.04,12446.14175,2654.558988,14933.66074
0.009,9,153,173.88,13330.5228,2437.761438,15594.40423
0.009,10,130,165,13084.03397,1909.03277,14828.06674
0.009,11,132,182.82,13809.89518,2761.719826,16388.79501
