a,n,num_liquidations,total_commission,short_profits,long_profits,profit
0.001,2,5533,1335,11900.26137,2210.655465,12775.91684
0.001,2.1,5293,1340.892,11825.386,2328.862225,12813.35622
0.001,2.2,5112,1356.696,12078.94288,2261.389786,12983.63667
0.001,2.3,4890,1356.678,12081.89537,2262.236502,12987.45388
0.001,2.4,4691,1358.352,12151.60049,2210.236628,13003.48512
0.001,2.5,4543,1370.1,12178.36224,2296.997551,13105.25979
0.001,2.6,4444,1393.86,12471.73532,2272.023595,13349.89891
0.001,2.7,4302,1401.3,12456.27129,2356.073186,13411.04448
0.001,2.8,4112,1389.024,12345.38847,2331.161249,13287.52571
0.001,2.9,4057,1419.318,12637.82768,2365.625654,13584.13533
0.001,3,3868,1399.68,12549.60548,2265.968913,13415.8944
0.001,3.1,3755,1404.3,12559.35163,2289.055777,13444.1074
0.001,3.2,3616,1396.032,12357.09651,2388.727833,13349.79235
0.001,3.3,3522,1402.236,12530.2911,2300.519072,13428.57417
0.001,3.4,3484,1429.02,12757.46944,2362.054688,13690.50413
0.001,3.5,3411,1440.18,12850.13639,2383.568194,13793.52458
0.001,3.6,3250,1411.56,12643.75273,2304.811067,13537.0038
0.001,3.7,3199,1428.126,12729.80904,2379.851804,13681.53484
0.001,3.8,3162,1449.396,12923.12,2414.734375,13888.45837
0.001,3.9,3023,1422.252,12616.91873,2416.068273,13610.735
0.001,4,2954,1425.6,12681.06505,2377.64044,13633.10549
0.001,4.1,2889,1429.014,12886.97428,2246.378644,13704.33893
0.001,4.2,2885,1461.852,13177.526,2303.567346,14019.24135
0.001,4.3,2864,1485.306,13308.82831,2412.204816,14235.72713
0.001,4.4,2763,1466.52,13174.76268,2359.838296,14068.08097
0.001,4.5,2696,1463.4,13198.22078,2312.394615,14047.21539
0.001,4.6,2653,1471.908,13379.30692,2241.68465,14149.08357
0.001,4.7,2594,1470.63,13374.85155,2237.935104,14142.15666
0.001,4.8,2600,1505.088,13768.72705,2209.949327,14473.58838
0.001,4.9,2559,1512.336,13608.934,2403.983797,14500.5818
0.001,5,2540,1531.8,13773.48252,2458.476734,14700.15926
0.001,5.1,2476,1522.962,13705.88652,2429.079969,14612.00449
0.001,5.2,2358,1479.192,13303.37584,2354.44347,14178.62731
0.001,5.3,2383,1523.22,13553.41372,2564.001008,14594.19472
0.001,5.4,2357,1535.112,13796.04168,2467.270125,14728.1998
0.001,5.5,2284,1515.03,13626.31647,2433.987952,14545.27443
0.001,5.6,2184,1475.376,13388.32936,2241.530785,14154.48415
0.001,5.7,2094,1440.162,12845.75886,2376.638309,13782.23516
0.001,5.8,2052,1435.848,12669.45803,2473.72952,13707.33955
0.001,5.9,2096,1491.756,13330.72874,2454.977667,14293.9504
0.001,6,2062,1492.2,13483.77527,2328.80313,14320.3784
0.001,6.1,1998,1470.222,13252.90692,2323.589892,14106.27481
0.001,6.2,1967,1471.26,13215.77876,2361.145817,14105.66458
0.001,6.3,1918,1457.568,13016.23101,2397.591382,13956.25439
0.001,6.4,1953,1507.584,13640.62216,2314.565506,14447.60367
0.001,6.5,1905,1493.31,13508.82304,2284.792348,14300.30538
0.001,6.6,1853,1475.1,13285.945,2304.499797,14115.3448
0.001,6.7,1844,1490.214,13330.50164,2406.819962,14247.10761
0.001,6.8,1761,1444.728,13114.19491,2171.234961,13840.70187
0.001,6.9,1866,1552.914,14226.25413,2263.544615,14936.88475
0.001,7,1870,1578.36,14288.48688,2429.868148,15139.99503
0.001,7.1,1792,1534.452,14038.59782,2253.481635,14757.62745
0.001,7.2,1770,1537.056,13721.89534,2546.834292,14731.67364
0.001,7.3,1708,1504.092,13439.81582,2466.22123,14401.94505
0.001,7.4,1703,1520.256,13647.66302,2458.591911,14585.99893
0.001,7.5,1713,1549.35,13866.55755,2543.977534,14861.18508
0.001,7.6,1701,1559.064,13900.08003,2586.976687,14927.99272
0.001,7.7,1672,1552.782,13845.99103,2579.903171,14873.1122
0.001,7.8,1620,1524.276,13543.96021,2567.412714,14587.09692
0.001,7.9,1603,1527.228,13621.12948,2533.277468,14627.17894
0.001,8,1595,1538.88,13753.95404,2514.839881,14729.91392
0.001,8.1,1577,1540.62,14029.55633,2308.095809,14797.03214
0.001,8.2,1592,1574.4,14208.32021,2481.944353,15115.86456
0.001,8.3,1534,1535.832,13868.98449,2417.748697,14750.90119
0.001,8.4,1493,1512.504,13638.60032,2400.041112,14526.13743
