a,n,num_liquidations,total_commission,short_profits,long_profits,profit
0.005,16,193,379.2,17175.45274,2687.748418,19484.00115
0.004,14,261,446.88,15173.7418,3455.779031,18182.64083
0.004,13,276,438.36,15526.35626,2738.335838,17826.3321
0.003,13,370,585,15364.68027,3019.960929,17799.6412
0.003,16,291,566.4,15885.49366,2094.816488,17413.91015
0.003,14,336,572.88,14784.60457,3199.960018,17411.68459
0.002,13,547,861.12,14888.68094,3179.086316,17206.64725
0.006,16,143,283.2,14314.45968,3118.794236,17150.05392
0.006,15,153,283.5,13776.53669,3631.85236,17124.88905
0.007,15,130,242.1,13891.89583,3408.97566,17058.77149
0.003,12,383,559.44,14975.76328,2620.558628,17036.88191
0.005,13,210,336.18,14596.98173,2767.876781,17028.67851
0.004,16,211,413.76,15613.10591,1791.728025,16991.07394
0.007,16,121,240.96,13952.8703,3262.073362,16973.98366
0.004,9,378,416.34,15008.77495,2377.133652,16969.5686
0.004,10,340,416.4,14863.99078,2505.149622,16952.7404
0.005,9,299,331.02,14561.61567,2617.079843,16847.67551
0.008,16,105,210.24,13747.47454,3299.852152,16837.08669
0.004,19,176,409.26,15296.91404,1942.387872,16830.04191
0.009,17,87,185.64,14279.44101,2736.060758,16829.86177
0.002,16,429,831.36,15530.90738,2074.896316,16774.44369
0.005,14,193,332.64,13728.00795,3374.805,16770.17295
0.003,10,451,549.6,14802.43961,2482.940536,16735.78014
0.005,15,180,332.1,13362.11772,3692.716858,16722.73457
0.008,17,97,206.04,14297.30869,2580.209661,16671.47835
0.005,10,266,327.6,14547.33219,2401.940756,16621.67294
0.012,15,73,139.5,13668.88409,3003.872407,16533.2565
0.008,15,110,206.1,13185.48062,3489.091833,16468.47245
0.004,12,275,403.92,14201.45855,2631.067425,16428.60598
0.014,16,58,120,13543.79819,3000.522569,16424.32076
0.004,8,413,404.64,14173.50383,2650.9565,16419.82033
0.005,19,137,320.34,14882.0719,1803.470509,16365.20241
0.011,17,69,148.92,13566.26094,2923.559868,16340.90081
0.001,13,1083,1697.28,15099.25646,2885.157525,16287.13399
0.008,14,116,203.28,13594.99959,2882.336811,16274.0564
