a,b,n_p,num_liquidations,total_commission,short_profits,long_profits,total_profits,short_leftover,long_leftover,tax_total,tax_short_total,tax_long_total
0.005,0.005,0.005,405,311.65611886800014,10428.560683330395,4225.147597615368,14493.725922146763,21,0,1458.4118913061989,1152.4223551755342,305.98953613066345
0.005,0.006,0.005,355,293.9982419045996,10709.356111936864,4177.098250357671,14735.642403155336,19,0,1388.0630723972529,1133.7735705411508,254.2895018561022
0.005,0.007,0.005,326,280.307496519,10749.427562423161,4116.3878977498725,14721.326290294432,19,0,1314.4872235395742,1102.949465870441,211.53775766913353
0.005,0.008,0.005,317,271.2477526277999,10904.096036960313,3963.7450940531157,14727.951124659428,18,0,989.6976977287426,866.266954698006,123.43074303073614
0.005,0.009000000000000001,0.005,317,267.05012840639984,10717.668761139745,4111.478485346531,14690.590836744877,19,0,813.3596464024143,735.6355533507561,77.72409305165826
0.005,0.01,0.005,314,263.78782474799976,11112.44856507025,4011.6710814724943,14986.161867195744,19,0,702.0114672112255,636.3319423501829,65.6795248610423
0.005,0.011,0.005,309,258.79455538079964,10703.5941863148,4033.4370613807455,14601.338056738345,19,0,672.2966461459617,611.7966772707396,60.49996887522222
0.006,0.005,0.005,306,258.46694194739996,9919.814816676344,3623.1925253261998,13411.238227290944,19,0,1212.690142000622,991.321312611343,221.36882938927855
0.006,0.006,0.005,268,248.9704592868001,10129.89343840866,3972.985415528166,13974.362580192426,17,0,1249.9669356202653,995.495911372313,254.47102424795224
0.006,0.007,0.005,269,265.8101178726002,11600.180378041232,4474.230686233379,15937.294257692009,16,0,1339.3073335980152,1091.8197091464747,247.48762445154077
0.006,0.008,0.005,234,239.9297028036001,10991.676569069159,4188.1181219575965,15055.739208769157,16,0,1146.2351020784615,937.216964512867,209.01813756559395
0.006,0.009000000000000001,0.005,230,234.55035546299993,10987.081929917731,4267.023156731258,15133.034313068589,15,0,924.4110887063542,798.310934245868,126.10015446048625
0.006,0.01,0.005,229,234.5206890792,11739.948875217533,4083.1625767866717,15701.643878523006,16,0,795.4587451623303,715.7507511872378,79.70799397509239
0.006,0.011,0.005,226,229.61386167360004,11502.04320014539,4098.53905707303,15480.155996275418,16,0,732.236333792209,661.9313210709596,70.30501272124964
0.007,0.005,0.005,263,236.07703386300017,9433.249200885464,3841.239776006535,13157.374371691798,18,0,1001.2592629009138,817.2865595402542,183.9727033606593
0.007,0.006,0.005,236,235.55351241540012,10478.143237719838,4090.6595028529478,14448.580926310586,16,0,1187.7100686953595,946.5096393849147,241.20042931044478
0.007,0.007,0.005,221,240.50984572020002,11683.961396224306,4353.70354887416,15913.231486164066,15,0,1296.7654006155421,1064.132729561238,232.63267105430478
0.007,0.008,0.005,185,212.83019079840003,10654.855484996016,4383.662051034482,14927.528787600697,14,0,1057.3852378526285,827.7588935783328,229.62634427429555
0.007,0.009000000000000001,0.005,179,212.95515679620007,11595.070775778875,4053.0478639611943,15536.160476634068,14,0,1064.0156152414563,893.7675537152496,170.24806152620707
0.007,0.01,0.005,181,216.76806490140004,11863.500579425108,4378.426431124573,16128.31338973688,14,0,964.8540540628996,828.4040833424513,136.4499707204483
0.007,0.011,0.005,172,201.4818202956001,11290.295088683044,4281.180318115116,15466.436183151762,13,0,647.7773683412474,557.6053178044945,90.17205053675274
0.008,0.005,0.005,221,208.34882917079997,9024.113500934121,3318.0349239161847,12242.700270039308,17,0,855.5166232991393,702.9806150520944,152.5360082470451
0.008,0.006,0.005,198,208.33436139239976,9716.724241328944,3765.3689053088997,13378.552561434246,16,0,1036.8059928928399,840.62788590343,196.1781069894099
0.008,0.007,0.005,166,192.90409979460009,9997.28888606658,3873.147950281378,13771.03165646916,14,0,995.7959586376666,806.4820453289659,189.31391330870062
