datetime,종가,시가,고가,저가,TR,14-day ATR
20-04-06,1224.6,1236.42,1239.51,1223.58,15.93,12.15071429
20-04-07,1214.93,1224.64,1225.56,1208.79,16.77,12.15071429
20-04-08,1215.76,1215.43,1223.19,1214.09,9.1,12.15071429
20-04-09,1210.58,1216.26,1222.36,1208.67,13.69,12.15071429
20-04-10,1211.05,1211.11,1216.1,1206.64,9.46,12.15071429
20-04-13,1215.46,1212.04,1221.7,1211.59,10.65,12.15071429
20-04-14,1212.46,1215.97,1219.45,1211.31,8.14,12.15071429
20-04-15,1224.68,1212.5,1225.77,1209.61,16.16,12.15071429
20-04-16,1228.94,1224.72,1230.53,1222.94,7.59,12.15071429
20-04-17,1216.13,1228.98,1229.45,1213.95,15.5,12.15071429
20-04-20,1220.58,1216.26,1222.63,1214.71,7.92,12.15071429
20-04-21,1232.56,1220.62,1241.82,1220.12,21.7,12.15071429
20-04-22,1233.55,1233.53,1237.91,1229.92,7.99,12.15071429
20-04-23,1233.04,1234.05,1237.23,1227.72,9.51,12.15071429
20-04-24,1230.53,1233.54,1238.24,1229.93,8.31,11.60642857
20-04-27,1222.05,1230.5,1235.1,1220.81,14.29,11.42928571
20-04-28,1221.31,1222.64,1227.95,1216.86,11.09,11.57142857
20-04-29,1210.99,1221.81,1223.45,1210.42,13.03,11.52428571
20-04-30,1212.94,1211.1,1215.69,1203.52,12.17,11.71785714
20-05-01,1224.89,1213.94,1225.87,1213.1,12.93,11.88071429
20-05-04,1224.14,1224.8,1230.53,1223.36,7.17,11.81142857
20-05-05,1222.47,1224.18,1224.82,1218.2,6.62,11.13
20-05-06,1228.55,1222.57,1230.03,1220.57,9.46,11.26357143
20-05-07,1219.61,1229.6,1230.06,1217.08,12.98,11.08357143
20-05-08,1219.65,1220.11,1221.82,1214.51,7.31,11.04
20-05-11,1222.91,1219.7,1226.18,1214.18,12,10.34714286
20-05-12,1226.64,1223.41,1228.95,1220.19,8.76,10.40214286
20-05-13,1227.37,1226.84,1229.4,1222.17,7.23,10.23928571
20-05-14,1227.03,1227.51,1234.03,1226.12,7.91,10.21071429
20-05-15,1232.69,1227.53,1235.58,1226.3,9.28,9.852857143
20-05-18,1225.13,1233.09,1235.04,1224.44,10.6,9.817857143
20-05-19,1225.04,1225.27,1227.55,1221.06,6.49,9.350714286
20-05-20,1227.26,1225.18,1232.7,1224.17,8.53,9.090714286
20-05-21,1233.19,1227.4,1234.52,1226.44,8.08,8.744285714
20-05-22,1240.59,1233.27,1244.51,1232.81,11.7,9.067857143
20-05-25,1240.45,1240.56,1244.89,1237.61,7.28,9.115
20-05-26,1230.9,1240.95,1242.7,1230.11,12.59,9.338571429
20-05-27,1238.19,1230.99,1239.51,1230.43,9.08,9.06
20-05-28,1237.97,1238.26,1242.59,1233.71,8.88,9.172142857
20-05-29,1231.49,1238.03,1240.7,1230.18,10.52,9.066428571
20-06-01,1222.92,1231.47,1232.19,1221.74,10.45,9.187142857
20-06-02,1219.62,1223.05,1227.33,1216.33,11,9.456428571
20-06-03,1215.79,1220.12,1220.67,1214.12,6.55,9.359285714
20-06-04,1216.39,1215.95,1220.2,1212.94,7.26,9.215
20-06-05,1202.02,1216.54,1218.76,1200.35,18.41,9.772857143
20-06-08,1195.35,1201.85,1205.88,1193.92,11.96,10.16357143
20-06-09,1198.4,1195.9,1202.93,1194.99,7.94,10.12142857
20-06-10,1190.67,1198.52,1200.79,1184.24,16.55,10.72642857
20-06-11,1206.1,1190.79,1208.4,1188.11,20.29,11.34
20-06-12,1203.66,1206.2,1210.48,1200.61,9.87,11.525
20-06-15,1208.55,1203.61,1217.13,1203.16,13.97,11.62357143
20-06-16,1211.79,1208.65,1215.22,1204.09,11.13,11.77
20-06-17,1215.41,1212.29,1219.26,1210.35,8.91,11.77214286
20-06-18,1212.5,1215.53,1218.09,1207.76,10.33,11.75857143
